Timestamp,Open,High,Low,Close,Volume
2026-05-21 07:45:00,667.88,669.43,663.37,664.67,1962.998
2026-05-21 08:00:00,664.82,669.82,661.23,669.28,1418.913
2026-05-21 08:15:00,669.4,672.79,668.37,671.72,1478.73
2026-05-21 08:30:00,671.76,671.96,666.15,667.75,1012.856
2026-05-21 08:45:00,667.75,668.02,662.52,666.96,1257.171
2026-05-21 09:00:00,666.91,671.0,666.29,668.03,1010.713
2026-05-21 09:15:00,668.13,668.82,663.71,664.27,1353.862
2026-05-21 09:30:00,664.24,667.35,663.38,665.81,699.215
2026-05-21 09:45:00,665.84,667.09,662.0,664.58,1703.869
2026-05-21 10:00:00,664.65,669.79,664.41,668.15,1368.049
2026-05-21 10:15:00,668.22,669.0,654.0,658.82,5259.56
2026-05-21 10:30:00,658.71,663.06,657.05,661.62,1177.881
2026-05-21 10:45:00,661.65,661.89,657.75,659.59,1560.737
2026-05-21 11:00:00,659.61,660.77,658.49,658.9,762.821
2026-05-21 11:15:00,658.89,659.34,653.01,653.96,2382.251
2026-05-21 11:30:00,654.0,655.74,652.06,653.24,1762.946
2026-05-21 11:45:00,653.21,657.99,653.1,654.57,839.567
2026-05-21 12:00:00,654.62,658.38,652.33,653.23,912.749
2026-05-21 12:15:00,653.24,657.95,653.24,655.76,1561.532
2026-05-21 12:30:00,655.77,663.09,654.27,662.82,2556.436
2026-05-21 12:45:00,662.82,666.83,660.29,661.2,3061.167
2026-05-21 13:00:00,661.19,664.45,659.4,663.0,2070.897
2026-05-21 13:15:00,662.99,664.4,662.32,663.06,1720.279
2026-05-21 13:30:00,663.18,663.46,657.26,657.62,4109.575
2026-05-21 13:45:00,657.63,668.72,657.63,667.89,2744.345
2026-05-21 14:00:00,667.93,669.88,662.87,664.21,2528.045
2026-05-21 14:15:00,664.3,664.3,660.0,663.4,1198.233
2026-05-21 14:30:00,663.42,665.89,655.0,657.1,2277.085
2026-05-21 14:45:00,657.11,658.83,645.06,652.25,9415.685
2026-05-21 15:00:00,652.06,659.94,650.25,657.44,5938.022
2026-05-21 15:15:00,657.5,661.84,657.5,660.31,2043.759
2026-05-21 15:30:00,660.45,661.13,654.56,655.68,1663.696
2026-05-21 15:45:00,655.67,658.09,653.88,655.92,1027.405
2026-05-21 16:00:00,655.95,657.97,652.72,654.45,2878.043
2026-05-21 16:15:00,654.49,657.13,652.7,656.36,1716.438
2026-05-21 16:30:00,656.4,662.7,656.4,657.56,1997.832
2026-05-21 16:45:00,657.56,660.66,655.0,658.94,1278.822
2026-05-21 17:00:00,659.0,663.77,659.0,663.01,1933.401
2026-05-21 17:15:00,663.05,669.69,661.72,668.4,5004.411
2026-05-21 17:30:00,668.34,678.36,667.8,674.44,5431.162
2026-05-21 17:45:00,674.63,686.76,667.83,681.34,8121.531
2026-05-21 18:00:00,681.36,684.62,674.09,675.29,2738.802
2026-05-21 18:15:00,675.43,679.74,670.37,671.83,1828.564
2026-05-21 18:30:00,672.02,675.37,670.0,671.5,1282.794
2026-05-21 18:45:00,671.49,672.71,666.25,671.42,4582.079
2026-05-21 19:00:00,671.28,673.28,668.8,669.17,1593.989
2026-05-21 19:15:00,669.28,671.66,662.33,665.58,2103.47
2026-05-21 19:30:00,665.49,667.3,663.15,665.12,1053.844
2026-05-21 19:45:00,665.27,668.86,664.99,667.21,1184.368
2026-05-21 20:00:00,667.22,672.04,666.39,671.76,1072.175
2026-05-21 20:15:00,671.68,674.99,669.9,673.14,1115.271
2026-05-21 20:30:00,673.14,676.2,670.08,671.76,1134.802
2026-05-21 20:45:00,671.84,672.63,668.55,671.21,889.164
2026-05-21 21:00:00,671.21,677.79,671.21,676.69,2359.761
2026-05-21 21:15:00,676.72,678.0,674.72,677.5,1031.13
2026-05-21 21:30:00,677.49,679.05,674.58,675.19,904.765
2026-05-21 21:45:00,675.24,675.24,669.91,673.62,3850.998
2026-05-21 22:00:00,673.58,673.98,670.49,671.1,1341.259
2026-05-21 22:15:00,671.13,672.05,667.78,668.18,631.169
2026-05-21 22:30:00,668.16,669.75,666.03,668.67,695.008
2026-05-21 22:45:00,668.7,670.86,667.62,668.61,605.121
2026-05-21 23:00:00,668.66,668.74,664.2,664.59,1301.95
2026-05-21 23:15:00,664.54,667.18,661.31,663.13,2500.686
2026-05-21 23:30:00,663.23,665.31,661.13,663.79,2542.832
2026-05-21 23:45:00,663.76,665.98,663.76,664.45,766.218
2026-05-22 00:00:00,664.34,666.26,662.08,663.88,1240.224
2026-05-22 00:15:00,663.87,665.2,658.01,661.57,2660.861
2026-05-22 00:30:00,661.51,663.0,659.62,659.8,829.71
2026-05-22 00:45:00,659.68,661.26,658.68,659.8,976.488
2026-05-22 01:00:00,659.77,659.77,651.29,657.11,4796.973
2026-05-22 01:15:00,657.07,657.07,653.15,654.67,1056.974
2026-05-22 01:30:00,654.64,655.99,651.98,654.91,862.126
2026-05-22 01:45:00,654.89,658.17,654.05,656.58,1048.379
2026-05-22 02:00:00,656.74,659.87,656.74,658.41,1526.912
2026-05-22 02:15:00,658.42,662.61,658.41,660.35,4110.519
2026-05-22 02:30:00,660.3,662.6,657.99,659.91,954.513
2026-05-22 02:45:00,659.94,662.64,659.19,662.24,1895.266
2026-05-22 03:00:00,662.28,662.6,657.34,657.34,1115.53
2026-05-22 03:15:00,657.43,658.25,653.11,656.87,1353.156
2026-05-22 03:30:00,656.88,657.44,655.16,655.7,502.39
2026-05-22 03:45:00,655.69,659.31,655.01,656.52,623.589
2026-05-22 04:00:00,656.53,659.39,656.53,658.84,521.754
2026-05-22 04:15:00,658.89,659.37,654.43,655.81,1034.155
2026-05-22 04:30:00,655.9,656.18,654.02,654.79,618.686
2026-05-22 04:45:00,654.84,656.22,652.47,655.69,1951.697
2026-05-22 05:00:00,655.73,658.3,654.34,657.19,820.339
2026-05-22 05:15:00,657.21,658.54,655.82,656.44,514.397
2026-05-22 05:30:00,656.42,659.07,656.42,657.26,597.742
2026-05-22 05:45:00,657.35,657.89,654.02,655.16,856.379
2026-05-22 06:00:00,655.25,656.31,653.15,654.83,630.024
2026-05-22 06:15:00,654.84,657.14,654.61,655.95,1426.285
2026-05-22 06:30:00,656.04,656.58,654.14,655.36,811.122
2026-05-22 06:45:00,655.29,656.24,651.52,652.11,1300.803
2026-05-22 07:00:00,652.11,652.37,647.36,649.42,3912.31
2026-05-22 07:15:00,649.44,653.9,648.92,653.53,1306.105
2026-05-22 07:30:00,653.64,657.47,653.64,655.22,1355.612
2026-05-22 07:45:00,655.25,657.0,654.01,655.68,856.903
2026-05-22 08:00:00,655.79,656.76,652.42,653.33,748.648
2026-05-22 08:15:00,653.42,656.0,652.29,654.12,1433.83
2026-05-22 08:30:00,654.07,654.08,649.65,651.47,2168.086
2026-05-22 08:45:00,651.49,652.43,645.8,651.28,3450.408
2026-05-22 09:00:00,651.33,653.61,650.92,650.94,1267.597
2026-05-22 09:15:00,651.03,651.98,647.99,648.3,1703.564
2026-05-22 09:30:00,648.23,648.75,641.11,642.69,6960.463
2026-05-22 09:45:00,642.69,643.72,637.0,639.18,4208.345
2026-05-22 10:00:00,639.22,639.34,632.14,637.45,4250.097
2026-05-22 10:15:00,637.54,641.89,635.79,641.19,1933.879
2026-05-22 10:30:00,641.33,641.92,635.05,637.69,1325.74
2026-05-22 10:45:00,637.52,639.99,635.23,639.43,1083.099
2026-05-22 11:00:00,639.62,645.37,638.83,641.16,5189.589
2026-05-22 11:15:00,641.15,642.19,639.41,639.6,1026.703
2026-05-22 11:30:00,639.66,640.67,637.59,639.05,823.76
2026-05-22 11:45:00,639.12,647.0,639.12,645.01,2229.332
2026-05-22 12:00:00,645.0,645.82,641.75,643.87,1410.386
2026-05-22 12:15:00,643.88,646.2,641.86,642.26,1123.055
2026-05-22 12:30:00,642.34,643.78,640.94,643.28,712.951
2026-05-22 12:45:00,643.32,643.67,639.0,640.94,926.789
2026-05-22 13:00:00,640.93,641.03,637.52,638.37,2015.71
2026-05-22 13:15:00,638.61,639.88,636.36,636.51,1102.978
2026-05-22 13:30:00,636.51,640.73,636.04,639.34,1531.233
2026-05-22 13:45:00,639.18,639.94,635.79,638.5,1494.97
2026-05-22 14:00:00,638.41,638.41,633.57,635.25,2178.836
2026-05-22 14:15:00,635.25,636.01,631.19,634.62,3158.953
2026-05-22 14:30:00,634.63,635.16,630.51,630.82,1407.504
2026-05-22 14:45:00,630.82,633.71,627.57,632.49,4738.221
2026-05-22 15:00:00,632.49,634.34,628.37,630.18,1892.248
2026-05-22 15:15:00,630.16,632.18,625.05,631.83,2013.604
2026-05-22 15:30:00,631.59,635.67,630.5,631.17,2310.502
2026-05-22 15:45:00,631.25,632.94,629.42,629.42,903.709
2026-05-22 16:00:00,629.42,631.72,626.73,626.9,1226.513
2026-05-22 16:15:00,626.9,629.78,626.14,627.48,1512.872
2026-05-22 16:30:00,627.55,629.14,623.62,624.16,1734.859
2026-05-22 16:45:00,624.28,628.24,624.11,627.84,842.769
2026-05-22 17:00:00,627.83,628.55,620.86,623.96,4174.743
2026-05-22 17:15:00,623.96,633.11,622.68,632.21,2457.089
2026-05-22 17:30:00,632.06,634.0,627.85,629.49,2391.631
2026-05-22 17:45:00,629.49,629.9,623.0,623.19,2206.96
2026-05-22 18:00:00,623.17,624.43,615.95,620.65,5797.275
2026-05-22 18:15:00,620.7,621.13,617.21,617.58,2377.033
2026-05-22 18:30:00,617.64,619.46,610.03,610.47,6725.098
2026-05-22 18:45:00,610.62,615.32,603.26,611.72,7318.383
2026-05-22 19:00:00,611.86,613.37,605.5,609.35,2986.3
2026-05-22 19:15:00,609.3,609.3,603.0,604.96,1739.585
2026-05-22 19:30:00,605.02,612.53,602.3,612.01,2183.93
2026-05-22 19:45:00,612.0,612.93,606.65,607.22,1050.661
2026-05-22 20:00:00,607.2,609.51,604.5,604.51,1463.291
2026-05-22 20:15:00,604.51,606.07,591.25,594.6,7901.73
2026-05-22 20:30:00,594.61,601.37,589.81,600.51,6219.171
2026-05-22 20:45:00,600.5,601.06,596.0,597.24,2090.969
2026-05-22 21:00:00,597.11,607.95,596.27,604.04,3972.134
2026-05-22 21:15:00,604.0,606.62,601.95,605.69,1822.505
2026-05-22 21:30:00,605.69,607.98,602.03,603.9,2228.937
2026-05-22 21:45:00,603.85,604.68,599.38,600.4,1921.736
2026-05-22 22:00:00,600.48,605.31,599.87,602.28,935.844
2026-05-22 22:15:00,602.22,602.22,592.96,594.65,3319.155
2026-05-22 22:30:00,594.78,596.66,590.33,596.06,3389.839
2026-05-22 22:45:00,596.1,597.1,590.67,592.28,1960.287
2026-05-22 23:00:00,592.32,594.68,588.3,590.27,3071.387
2026-05-22 23:15:00,590.31,591.38,583.32,584.36,3290.533
2026-05-22 23:30:00,584.4,585.97,582.5,582.64,1853.286
2026-05-22 23:45:00,582.73,586.76,580.79,582.87,2472.336
2026-05-23 00:00:00,582.84,590.07,581.08,588.76,3019.165
2026-05-23 00:15:00,588.78,591.17,584.43,587.56,2595.777
2026-05-23 00:30:00,587.56,589.1,584.48,587.28,1492.753
2026-05-23 00:45:00,587.23,588.09,584.47,586.88,1511.888
2026-05-23 01:00:00,586.88,589.75,586.32,587.49,1477.455
2026-05-23 01:15:00,587.49,594.25,585.26,592.88,2778.282
