Timestamp,Open,High,Low,Close,Volume
2026-05-21 07:45:00,652.26,653.14,651.31,652.93,1619.202
2026-05-21 08:00:00,652.93,656.0,652.83,655.72,1741.818
2026-05-21 08:15:00,655.72,656.0,654.64,655.26,995.232
2026-05-21 08:30:00,655.26,655.3,654.2,654.96,463.067
2026-05-21 08:45:00,654.96,655.02,654.34,654.92,432.757
2026-05-21 09:00:00,654.93,655.41,654.7,655.21,559.212
2026-05-21 09:15:00,655.21,655.47,655.0,655.08,287.017
2026-05-21 09:30:00,655.07,655.16,652.96,653.49,1479.012
2026-05-21 09:45:00,653.5,653.74,653.25,653.31,396.451
2026-05-21 10:00:00,653.31,653.78,653.31,653.64,698.851
2026-05-21 10:15:00,653.63,653.99,649.54,650.34,4249.79
2026-05-21 10:30:00,650.34,650.76,648.76,649.93,1350.574
2026-05-21 10:45:00,649.93,649.93,648.05,648.38,997.743
2026-05-21 11:00:00,648.38,649.35,647.36,649.21,944.129
2026-05-21 11:15:00,649.22,649.56,648.53,648.85,623.673
2026-05-21 11:30:00,648.84,649.27,647.96,648.63,485.824
2026-05-21 11:45:00,648.62,649.06,647.75,647.77,691.929
2026-05-21 12:00:00,647.78,648.84,647.54,648.43,679.055
2026-05-21 12:15:00,648.43,648.81,648.0,648.01,1125.603
2026-05-21 12:30:00,648.01,650.04,647.69,649.34,1464.798
2026-05-21 12:45:00,649.34,650.89,649.33,649.67,1045.912
2026-05-21 13:00:00,649.67,650.89,649.43,650.1,1092.389
2026-05-21 13:15:00,650.1,650.6,649.71,650.6,657.645
2026-05-21 13:30:00,650.6,650.6,646.36,646.51,2060.264
2026-05-21 13:45:00,646.51,649.97,646.33,649.6,1899.077
2026-05-21 14:00:00,649.61,650.59,648.97,649.46,1098.504
2026-05-21 14:15:00,649.47,649.62,647.81,649.61,1453.006
2026-05-21 14:30:00,649.61,651.3,648.94,649.18,1663.094
2026-05-21 14:45:00,649.17,649.58,648.24,648.9,1172.137
2026-05-21 15:00:00,648.9,651.3,648.75,650.74,2215.048
2026-05-21 15:15:00,650.73,653.08,650.59,652.53,1497.522
2026-05-21 15:30:00,652.53,652.76,650.75,651.51,2102.885
2026-05-21 15:45:00,651.51,652.98,651.47,652.39,1057.219
2026-05-21 16:00:00,652.39,653.33,651.45,651.98,1142.38
2026-05-21 16:15:00,651.98,652.0,650.92,651.49,859.526
2026-05-21 16:30:00,651.48,652.37,650.59,650.81,840.624
2026-05-21 16:45:00,650.82,651.28,650.23,651.1,688.756
2026-05-21 17:00:00,651.1,653.9,651.0,653.81,1368.967
2026-05-21 17:15:00,653.82,659.82,653.66,659.47,5737.017
2026-05-21 17:30:00,659.48,659.63,657.51,657.85,1634.496
2026-05-21 17:45:00,657.85,659.69,657.32,657.79,1720.591
2026-05-21 18:00:00,657.79,659.41,656.46,657.43,4108.616
2026-05-21 18:15:00,657.43,658.69,657.21,657.88,958.469
2026-05-21 18:30:00,657.88,658.27,657.11,657.79,1035.956
2026-05-21 18:45:00,657.8,657.98,654.46,655.95,2265.665
2026-05-21 19:00:00,655.94,657.39,655.82,657.39,1162.074
2026-05-21 19:15:00,657.39,657.41,656.42,656.6,835.947
2026-05-21 19:30:00,656.59,657.31,656.51,657.25,294.417
2026-05-21 19:45:00,657.24,658.53,657.16,657.87,695.735
2026-05-21 20:00:00,657.88,658.28,657.08,657.4,472.181
2026-05-21 20:15:00,657.41,657.8,657.21,657.6,351.813
2026-05-21 20:30:00,657.61,658.51,657.33,657.59,533.097
2026-05-21 20:45:00,657.6,658.47,657.05,657.36,319.85
2026-05-21 21:00:00,657.35,658.82,657.35,658.64,422.676
2026-05-21 21:15:00,658.64,659.0,658.37,658.73,245.686
2026-05-21 21:30:00,658.74,658.88,657.94,658.31,421.083
2026-05-21 21:45:00,658.32,658.32,657.38,657.51,225.45
2026-05-21 22:00:00,657.52,658.08,657.0,657.44,301.152
2026-05-21 22:15:00,657.45,657.52,656.95,657.46,255.371
2026-05-21 22:30:00,657.45,657.94,656.11,656.8,260.771
2026-05-21 22:45:00,656.8,657.11,656.6,656.9,250.145
2026-05-21 23:00:00,656.9,657.87,656.52,656.74,326.374
2026-05-21 23:15:00,656.74,658.2,656.35,657.34,1099.355
2026-05-21 23:30:00,657.34,658.51,657.34,657.98,712.244
2026-05-21 23:45:00,657.97,658.66,657.68,658.58,1226.826
2026-05-22 00:00:00,658.58,659.33,657.62,658.11,1469.081
2026-05-22 00:15:00,658.12,658.73,657.53,657.66,753.528
2026-05-22 00:30:00,657.65,658.89,657.54,657.88,1010.868
2026-05-22 00:45:00,657.88,658.43,656.92,656.98,342.985
2026-05-22 01:00:00,656.98,658.0,656.14,658.0,752.166
2026-05-22 01:15:00,657.99,658.24,656.84,657.81,556.493
2026-05-22 01:30:00,657.8,658.78,656.8,658.78,928.096
2026-05-22 01:45:00,658.78,660.2,658.78,659.34,1359.52
2026-05-22 02:00:00,659.34,660.0,658.86,659.92,2076.546
2026-05-22 02:15:00,659.93,661.0,659.22,659.52,3067.768
2026-05-22 02:30:00,659.52,659.91,658.69,659.41,1018.153
2026-05-22 02:45:00,659.4,661.0,658.91,660.31,2729.738
2026-05-22 03:00:00,660.31,661.42,659.39,659.79,1392.935
2026-05-22 03:15:00,659.8,660.3,659.34,659.89,733.856
2026-05-22 03:30:00,659.88,660.7,659.68,660.13,1130.627
2026-05-22 03:45:00,660.12,660.2,659.49,659.61,635.567
2026-05-22 04:00:00,659.62,660.28,659.58,660.28,507.087
2026-05-22 04:15:00,660.28,660.59,659.15,659.27,543.068
2026-05-22 04:30:00,659.28,659.63,658.97,659.35,1386.204
2026-05-22 04:45:00,659.36,659.43,658.43,659.13,2494.521
2026-05-22 05:00:00,659.13,659.13,658.0,658.82,2974.258
2026-05-22 05:15:00,658.83,659.23,657.79,657.82,1741.156
2026-05-22 05:30:00,657.82,658.17,656.82,657.25,1851.168
2026-05-22 05:45:00,657.24,658.15,656.56,657.15,1216.046
2026-05-22 06:00:00,657.15,657.75,656.79,657.61,750.721
2026-05-22 06:15:00,657.61,657.65,656.66,657.2,535.814
2026-05-22 06:30:00,657.2,657.2,656.1,656.79,845.486
2026-05-22 06:45:00,656.78,656.88,655.81,656.12,818.508
2026-05-22 07:00:00,656.13,656.98,655.48,656.64,621.12
2026-05-22 07:15:00,656.64,658.89,656.63,658.89,1038.259
2026-05-22 07:30:00,658.89,659.35,658.5,658.82,884.915
2026-05-22 07:45:00,658.83,659.72,658.64,659.49,837.648
2026-05-22 08:00:00,659.49,660.48,659.18,659.55,786.726
2026-05-22 08:15:00,659.55,660.6,659.55,660.6,1193.346
2026-05-22 08:30:00,660.61,661.1,658.82,659.63,1442.06
2026-05-22 08:45:00,659.63,660.05,659.16,659.16,671.385
2026-05-22 09:00:00,659.16,659.16,658.16,658.16,882.978
2026-05-22 09:15:00,658.17,658.52,657.35,657.87,2680.165
2026-05-22 09:30:00,657.87,658.31,656.2,656.78,2950.015
2026-05-22 09:45:00,656.78,657.37,656.23,657.25,2081.978
2026-05-22 10:00:00,657.25,657.26,655.61,655.75,1694.049
2026-05-22 10:15:00,655.74,656.31,654.79,655.92,1435.9
2026-05-22 10:30:00,655.93,656.3,655.5,656.26,980.015
2026-05-22 10:45:00,656.25,656.49,655.8,656.08,566.419
2026-05-22 11:00:00,656.08,657.1,656.08,656.32,600.737
2026-05-22 11:15:00,656.31,656.44,655.31,656.03,643.952
2026-05-22 11:30:00,656.02,657.06,656.02,656.65,411.375
2026-05-22 11:45:00,656.65,657.95,656.52,657.94,399.251
2026-05-22 12:00:00,657.95,659.88,657.77,659.54,1657.87
